"Data";"Note";"Tag"
"2026-06-13";"";"FEST"
"2026-06-21";"";"FEST"
"2026-06-06";"";"FEST"
"2026-06-20";"";"FEST"
"2026-06-28";"";"FEST"
"2026-06-14";"";"FEST"
"2026-06-07";"";"FEST"
"2026-06-27";"";"FEST"
"2026-07-18";;"FEST"
"2026-08-15";;"FEST"
"2026-07-19";;"FEST"
"2026-08-29";;"FEST"
"2026-08-16";;"FEST"
"2026-08-01";;"FEST"
"2026-08-30";;"FEST"
"2026-08-23";;"FEST"
"2026-07-26";;"FEST"
"2026-07-11";;"FEST"
"2026-07-04";;"FEST"
"2026-08-22";;"FEST"
"2026-08-09";;"FEST"
"2026-08-02";;"FEST"
"2026-07-05";;"FEST"
"2026-08-08";;"FEST"
"2026-07-12";;"FEST"
"2026-07-25";;"FEST"
